epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57,0.65445,2.45273,1.29574,0.00333,1,0.23433,0.10244,0.44671,2.85368,1.297,6e-05,6e-05,6e-05
2,8.899,0.8038,2.46718,1.52419,0.00333,1,0.76116,0.59984,0.35266,2.79213,1.11592,0.000138614,0.000138614,0.000138614
3,12.1896,0.53184,1.81673,1.17067,0.00333,1,0.98924,0.87285,0.26821,2.63917,0.96565,0.000215644,0.000215644,0.000215644
4,15.4955,0.50333,1.2801,1.17051,0.00333,1,0.98172,0.71627,0.64668,2.60622,1.24157,0.00029109,0.00029109,0.00029109
5,18.7016,0.52424,1.10592,1.1629,1,0.20147,0.98184,0.86213,0.47452,2.53821,1.12479,0.000364952,0.000364952,0.000364952
6,21.991,0.4688,1.00285,1.11096,1,0.77703,0.995,0.8863,0.42103,2.29484,1.07335,0.00043723,0.00043723,0.00043723
7,25.3449,0.39167,0.88678,1.03265,0.95637,0.87693,0.98184,0.82191,0.50633,2.13859,1.16633,0.000507924,0.000507924,0.000507924
8,28.5962,0.42307,0.87239,1.02842,0.88821,0.79462,0.92051,0.73982,0.51126,2.05258,1.21793,0.000577034,0.000577034,0.000577034
9,31.7951,0.41375,0.81046,1.0361,0.81076,0.86,0.87736,0.60078,0.88543,2.05221,1.7531,0.00064456,0.00064456,0.00064456
10,34.995,0.48157,1.18413,1.13192,0.87047,0.86,0.92506,0.59501,0.93803,2.11778,1.82833,0.000710502,0.000710502,0.000710502
11,38.1838,0.46659,0.87108,1.10497,0.72936,0.66,0.8185,0.59696,0.73338,2.31712,1.47313,0.00077486,0.00077486,0.00077486
12,41.518,0.46774,0.97845,1.11118,0.81084,0.85736,0.89972,0.66799,0.90619,2.07257,1.73117,0.000837634,0.000837634,0.000837634
13,44.801,0.39542,0.77887,1.02711,0.64779,0.73575,0.76285,0.54206,0.9796,2.27018,1.72787,0.000898824,0.000898824,0.000898824
14,48.1156,0.432,0.82461,1.04018,0.75107,0.58,0.75182,0.58071,0.77301,2.15849,1.53309,0.00095843,0.00095843,0.00095843
15,51.4672,0.43457,0.97054,1.09401,0.91633,0.87621,0.96365,0.83389,0.55172,1.5192,1.24953,0.00101645,0.00101645,0.00101645
16,54.6663,0.49805,0.82796,1.15556,0.96068,0.92,0.98493,0.89241,0.48326,1.37624,1.18238,0.00107289,0.00107289,0.00107289
17,57.8996,0.47809,0.77976,1.06176,0.99775,0.98,0.99318,0.86527,0.55639,1.33187,1.27049,0.00112774,0.00112774,0.00112774
18,61.1574,0.43896,0.7387,1.05296,0.96136,0.99517,0.99305,0.87134,0.49642,1.22637,1.19929,0.00118101,0.00118101,0.00118101
19,64.4028,0.45944,0.77434,1.1183,0.99851,0.98,0.99423,0.90639,0.40904,1.11406,1.05565,0.0012327,0.0012327,0.0012327
20,67.6577,0.44478,0.74994,1.10069,0.97988,0.97422,0.98967,0.89397,0.46826,1.20111,1.15599,0.0012828,0.0012828,0.0012828
21,70.973,0.49845,0.85537,1.09843,0.89446,0.8,0.90999,0.71818,0.71332,1.67782,1.42743,0.00133132,0.00133132,0.00133132
22,74.3198,0.45273,0.78866,1.02887,0.99539,0.92,0.99013,0.74062,0.85149,1.43151,1.62954,0.00137825,0.00137825,0.00137825
23,77.6554,0.49478,0.70717,1.13081,0.92902,1,0.99233,0.82409,0.6248,1.33754,1.42341,0.0014236,0.0014236,0.0014236
24,80.9804,0.42501,0.70388,1.04131,0.97994,0.97724,0.99422,0.8339,0.57465,1.18896,1.35166,0.00146737,0.00146737,0.00146737
25,84.2646,0.49739,0.79388,1.12968,0.90911,0.98,0.98362,0.77616,0.76297,1.2139,1.71153,0.00150955,0.00150955,0.00150955
26,87.5135,0.4701,0.66339,1.10191,0.93023,0.94,0.97129,0.71602,0.81307,1.15811,1.86301,0.001505,0.001505,0.001505
27,90.789,0.44089,0.64149,1.0281,0.98025,0.99269,0.99147,0.80816,0.65277,1.00167,1.53204,0.0014852,0.0014852,0.0014852
28,94.0914,0.43379,0.68673,1.06385,0.94104,0.95774,0.98508,0.84434,0.5339,0.90155,1.23384,0.0014654,0.0014654,0.0014654
29,97.3779,0.3469,0.55885,0.96788,0.89928,0.98,0.98485,0.85811,0.53485,0.95336,1.20576,0.0014456,0.0014456,0.0014456
30,100.616,0.44363,0.60859,1.09718,0.82369,0.98,0.94271,0.81977,0.52082,1.03903,1.14114,0.0014258,0.0014258,0.0014258
31,103.859,0.37969,0.53517,0.97067,0.8368,0.9,0.94618,0.76482,0.68268,1.21386,1.27385,0.001406,0.001406,0.001406
32,107.101,0.38979,0.56789,1.03193,0.78974,0.9,0.93219,0.73481,0.72716,1.24924,1.31659,0.0013862,0.0013862,0.0013862
33,110.372,0.43401,0.57273,1.03583,0.85782,1,0.96593,0.80534,0.74024,0.93195,1.39998,0.0013664,0.0013664,0.0013664
34,113.647,0.42688,0.56878,1.04603,0.95075,1,0.99186,0.85826,0.55382,0.76709,1.26039,0.0013466,0.0013466,0.0013466
35,116.91,0.40594,0.51733,0.99046,0.94339,0.99991,0.9911,0.84941,0.58982,0.79648,1.34806,0.0013268,0.0013268,0.0013268
36,120.175,0.36484,0.55737,0.98017,0.96122,0.99145,0.99346,0.85398,0.52874,0.77038,1.18147,0.001307,0.001307,0.001307
37,123.522,0.32708,0.55891,1.01608,0.99111,1,0.995,0.92011,0.38552,0.59284,1.02235,0.0012872,0.0012872,0.0012872
38,126.914,0.36532,0.477,0.98846,0.99097,1,0.995,0.92663,0.40078,0.57152,1.02585,0.0012674,0.0012674,0.0012674
39,130.295,0.40777,0.53629,0.9908,0.97754,1,0.99147,0.92817,0.38357,0.59176,1.00634,0.0012476,0.0012476,0.0012476
40,133.632,0.38686,0.49538,0.97735,0.97837,1,0.99265,0.93009,0.36905,0.59668,1.00216,0.0012278,0.0012278,0.0012278
41,137.011,0.50926,0.58607,1.19023,0.9769,1,0.99186,0.93317,0.35686,0.61867,0.99932,0.001208,0.001208,0.001208
42,140.351,0.40288,0.52403,1.0832,0.97928,1,0.99304,0.9582,0.34305,0.64391,0.98451,0.0011882,0.0011882,0.0011882
43,143.736,0.44774,0.60274,1.15447,0.96067,1,0.99343,0.95424,0.35621,0.77024,0.98668,0.0011684,0.0011684,0.0011684
44,149.56,0.43935,0.52599,1.0652,0.92435,0.96,0.98644,0.94317,0.37676,0.95596,0.99061,0.0011486,0.0011486,0.0011486
45,152.786,0.32885,0.48789,0.95948,0.8549,1,0.96833,0.89379,0.41967,0.98805,1.02952,0.0011288,0.0011288,0.0011288
46,155.978,0.42201,0.52057,1.08396,0.90168,0.91716,0.95037,0.82729,0.58609,1.06089,1.22403,0.001109,0.001109,0.001109
47,159.223,0.3544,0.48279,0.99186,0.85952,0.98,0.94395,0.7984,0.62098,0.9974,1.2939,0.0010892,0.0010892,0.0010892
48,162.512,0.39302,0.52016,1.06752,0.92575,1,0.98118,0.83575,0.64052,0.91113,1.34792,0.0010694,0.0010694,0.0010694
49,165.809,0.35881,0.44336,0.95972,0.90984,0.96,0.97928,0.8911,0.50002,0.8853,1.16607,0.0010496,0.0010496,0.0010496
50,169.047,0.33462,0.44801,0.98148,0.98267,0.98,0.99461,0.91426,0.41018,0.64873,1.05997,0.0010298,0.0010298,0.0010298
51,172.233,0.3189,0.44641,1.0023,0.99576,1,0.995,0.92691,0.339,0.53732,0.99368,0.00101,0.00101,0.00101
52,175.529,0.35113,0.50565,0.99407,0.99555,1,0.995,0.9475,0.31187,0.49377,0.96371,0.0009902,0.0009902,0.0009902
53,178.801,0.3593,0.47874,0.98868,0.99802,1,0.995,0.95559,0.30031,0.44976,0.93895,0.0009704,0.0009704,0.0009704
54,182.105,0.28479,0.40499,0.96236,0.99836,1,0.995,0.96215,0.29021,0.43738,0.93248,0.0009506,0.0009506,0.0009506
55,185.547,0.30717,0.43226,0.93746,0.99831,1,0.995,0.96856,0.27037,0.43053,0.91435,0.0009308,0.0009308,0.0009308
56,188.77,0.36122,0.45178,1.05707,0.99856,1,0.995,0.98438,0.25436,0.39871,0.89739,0.000911,0.000911,0.000911
57,192.066,0.32979,0.41601,0.96,0.99872,1,0.995,0.99265,0.23314,0.35849,0.89397,0.0008912,0.0008912,0.0008912
58,195.324,0.38316,0.47641,0.98822,0.99866,1,0.995,0.99229,0.2288,0.34867,0.89746,0.0008714,0.0008714,0.0008714
59,198.64,0.34545,0.42743,1.02838,0.99862,1,0.995,0.97589,0.24034,0.35843,0.90673,0.0008516,0.0008516,0.0008516
60,201.868,0.29997,0.3991,0.97084,0.99862,1,0.995,0.98031,0.25278,0.36728,0.91089,0.0008318,0.0008318,0.0008318
61,205.142,0.37599,0.49259,1.04275,0.9986,1,0.995,0.98466,0.25725,0.37642,0.90461,0.000812,0.000812,0.000812
62,208.355,0.34814,0.5315,1.03723,0.99841,1,0.995,0.98838,0.23848,0.38422,0.88895,0.0007922,0.0007922,0.0007922
63,211.578,0.28239,0.38867,0.94728,0.99878,1,0.995,0.99273,0.21367,0.38604,0.87476,0.0007724,0.0007724,0.0007724
64,214.87,0.33612,0.42561,0.96721,0.99855,1,0.995,0.98939,0.22408,0.40444,0.88353,0.0007526,0.0007526,0.0007526
65,218.162,0.31549,0.4089,0.97627,0.99851,1,0.995,0.98835,0.23723,0.41022,0.89506,0.0007328,0.0007328,0.0007328
66,221.396,0.33578,0.40515,0.9925,0.99871,1,0.995,0.9881,0.21551,0.38814,0.88525,0.000713,0.000713,0.000713
67,224.645,0.28269,0.39359,0.97846,0.99886,1,0.995,0.98757,0.20396,0.35674,0.87589,0.0006932,0.0006932,0.0006932
68,227.983,0.25264,0.37866,0.96281,0.99885,1,0.995,0.98812,0.21757,0.33671,0.87669,0.0006734,0.0006734,0.0006734
69,231.271,0.30053,0.38389,0.99042,0.99885,1,0.995,0.97802,0.23508,0.33973,0.88251,0.0006536,0.0006536,0.0006536
70,234.684,0.34858,0.39362,1.00404,0.99883,1,0.995,0.97749,0.23982,0.3308,0.88425,0.0006338,0.0006338,0.0006338
71,237.921,0.34089,0.40576,0.98586,0.99881,1,0.995,0.98815,0.21839,0.34178,0.87301,0.000614,0.000614,0.000614
72,241.169,0.30035,0.39814,0.97341,0.9982,1,0.995,0.99042,0.19091,0.42537,0.86002,0.0005942,0.0005942,0.0005942
73,244.45,0.31601,0.35702,0.98944,0.99645,1,0.995,0.98739,0.18414,0.60861,0.85913,0.0005744,0.0005744,0.0005744
74,247.714,0.48535,0.70824,1.1989,0.98966,1,0.995,0.98487,0.19712,0.78383,0.86532,0.0005546,0.0005546,0.0005546
75,250.919,0.28561,0.35971,0.95302,0.9915,1,0.995,0.9886,0.20125,0.86351,0.86681,0.0005348,0.0005348,0.0005348
76,254.178,0.29524,0.38595,1.02863,0.99506,1,0.995,0.98675,0.20568,0.87163,0.86686,0.000515,0.000515,0.000515
77,257.517,0.27329,0.35646,0.92626,0.99192,1,0.995,0.98733,0.19073,0.81481,0.85588,0.0004952,0.0004952,0.0004952
